127.0.0.1 - - [27/Apr/2024:21:35:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:35:35 +0530] "GET /SpringMVCTest/ HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:35:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:35:41 +0530] "GET /SpringMVCTest/User/search;jsessionid=171F120C42359EF41FD93B0816D5C67A HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:35:51 +0530] "GET /SpringMVCTest/User?id=2 HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:35:57 +0530] "POST /SpringMVCTest/User?id=2 HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:36:01 +0530] "GET /SpringMVCTest/ HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:36:03 +0530] "GET /SpringMVCTest/User/search HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:36:14 +0530] "GET /SpringMVCTest/User/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:36:27 +0530] "POST /SpringMVCTest/User/ HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:36:31 +0530] "GET /SpringMVCTest/User/search HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:36:46 +0530] "GET /SpringMVCTest/User/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:37:08 +0530] "POST /SpringMVCTest/User/ HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:37:15 +0530] "GET /SpringMVCTest/User/search HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:37:25 +0530] "GET /SpringMVCTest/User/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:37:58 +0530] "POST /SpringMVCTest/User/ HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:38:03 +0530] "GET /SpringMVCTest/User/search HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:38:57 +0530] "GET /SpringMVCTest/User/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:39:07 +0530] "POST /SpringMVCTest/User/ HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:39:13 +0530] "GET /SpringMVCTest/User/search HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:39:47 +0530] "POST /SpringMVCTest/User/search HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:39:51 +0530] "POST /SpringMVCTest/User/search HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:40:09 +0530] "GET /SpringMVCTest/User/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:40:44 +0530] "POST /SpringMVCTest/User/ HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:40:48 +0530] "POST /SpringMVCTest/User/ HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [27/Apr/2024:21:40:56 +0530] "GET /SpringMVCTest/User/search HTTP/1.1" 200 2451
